epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr
1,0.789278,0.5096,0.692751,0.5183,0.641826,1.000000e-03
2,0.694915,0.5034,0.692656,0.5183,0.658235,1.000000e-03
3,0.693884,0.5036,0.692135,0.5183,0.659060,1.000000e-03
4,0.694640,0.5044,0.692991,0.5183,0.657626,1.000000e-03
5,0.691599,0.5134,0.675491,0.5757,0.651339,1.000000e-03
6,0.632561,0.6289,0.628553,0.6398,0.765526,1.000000e-03
7,0.561836,0.7068,0.539241,0.7225,0.813925,1.000000e-03
8,0.532952,0.7351,0.529894,0.7345,0.824121,1.000000e-03
9,0.511483,0.7471,0.542316,0.7358,0.811604,1.000000e-03
10,0.488714,0.7641,0.526658,0.7518,0.833759,1.000000e-03
11,0.469962,0.7705,0.553320,0.7105,0.827052,1.000000e-03
12,0.458730,0.7780,0.510354,0.7438,0.829509,1.000000e-03
